skills,experience,interest,education,work_type,communication,target_role,job_link
"Communication, CRM",5.0,Sales,Graduate,Onsite,9.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Project Management, JIRA",7.0,Management,Post Graduate,Onsite,9.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Flutter, Dart",3.0,Mobile,Graduate,Remote,8.0,Mobile Developer,https://www.dewii.in/android-developer
"Python, Django, REST",5.0,Backend,Graduate,Hybrid,7.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"UX Research, Wireframing",3.0,Design,Graduate,Remote,9.0,UX Researcher,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"C++, Embedded Systems",4.0,Hardware,Post Graduate,Onsite,6.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"React Native, Mobile Dev",3.0,Mobile,Graduate,Remote,6.0,Mobile Developer,https://www.dewii.in/android-developer
"Adobe XD, Prototyping",5.0,Design,Graduate,Remote,8.0,UI Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Excel, VBA",6.0,Data,Graduate,Hybrid,9.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, CRM",4.0,Sales,Graduate,Onsite,10.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"SQL Server, SSIS",3.0,Data,Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Google Cloud, BigQuery",4.0,Cloud,Graduate,Hybrid,6.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Salesforce, CRM",6.0,Sales,Graduate,Hybrid,7.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Public Speaking, Leadership",6.0,Management,Post Graduate,Onsite,9.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"Adobe XD, Prototyping",4.0,Design,Graduate,Remote,9.0,UI Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Python, SQL, Pandas",1.0,Data,Graduate,Remote,5.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, NLP, Spacy",5.0,AI,Post Graduate,Remote,6.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Linux Admin, Bash Scripting",4.0,DevOps,Graduate,Onsite,6.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"TensorFlow, PyTorch",4.0,AI,Post Graduate,Remote,6.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
Marketing Automation,5.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Python, SQL, Pandas",3.0,Data,Graduate,Remote,5.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Flutter, Dart",3.0,Mobile,Graduate,Remote,7.0,Mobile Developer,https://www.dewii.in/android-developer
"Cloud Security, IAM",5.0,Security,Graduate,Onsite,7.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Leadership, Agile, Scrum",7.0,Management,Post Graduate,Onsite,9.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"C++, Embedded Systems",4.0,Hardware,Post Graduate,Onsite,4.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"Python, ML, TensorFlow",2.0,AI,Post Graduate,Remote,6.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"UX Research, Wireframing",2.0,Design,Graduate,Remote,7.0,UX Researcher,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Linux Admin, Bash Scripting",5.0,DevOps,Graduate,Onsite,6.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"PHP, Laravel",2.0,Backend,Graduate,Remote,5.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,6.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"React, JavaScript, UI",1.0,Frontend,Graduate,Remote,6.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Unity, C#",3.0,Game Dev,Graduate,Onsite,8.0,Game Developer,https://www.desirousgc.com/job/171
"React Native, Mobile Dev",4.0,Mobile,Graduate,Remote,8.0,Mobile Developer,https://www.dewii.in/android-developer
"Leadership, Agile, Scrum",8.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Leadership, Agile, Scrum",6.0,Management,Post Graduate,Onsite,8.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Public Speaking, Leadership",7.0,Management,Post Graduate,Onsite,8.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"Salesforce, CRM",5.0,Sales,Graduate,Hybrid,9.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Project Management, JIRA",7.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
Marketing Automation,5.0,Marketing,Graduate,Remote,8.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Public Speaking, Leadership",6.0,Management,Post Graduate,Onsite,10.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"Go, Microservices",4.0,Backend,Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Unity, C#",4.0,Game Dev,Graduate,Onsite,6.0,Game Developer,https://www.desirousgc.com/job/171
"Python, Django, REST",3.0,Backend,Graduate,Hybrid,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"SEO, Content Marketing",5.0,Marketing,Graduate,Remote,8.0,Digital Marketer,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,8.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Python, SQL, Pandas",1.0,Data,Graduate,Remote,6.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, CRM",5.0,Sales,Graduate,Onsite,9.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Cloud Security, IAM",4.0,Security,Graduate,Onsite,8.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"PHP, Laravel",3.0,Backend,Graduate,Remote,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Public Speaking, Leadership",8.0,Management,Post Graduate,Onsite,10.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"Public Speaking, Leadership",6.0,Management,Post Graduate,Onsite,9.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"JavaScript, Vue.js",1.0,Frontend,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Node.js, Express, MongoDB",3.0,Backend,Graduate,Hybrid,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Java, Spring Boot",3.0,Backend,Post Graduate,Onsite,5.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"AWS, CloudFormation",4.0,Cloud,Post Graduate,Hybrid,6.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"AutoCAD, SolidWorks",7.0,Design,Graduate,Onsite,7.0,Mechanical Designer,https://www.desirousgc.com/job/350
Marketing Automation,3.0,Marketing,Graduate,Remote,6.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Excel, VBA",5.0,Data,Graduate,Hybrid,9.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, ML, TensorFlow",1.0,AI,Post Graduate,Remote,5.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Python, NLP, Spacy",4.0,AI,Post Graduate,Remote,5.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"PHP, WordPress",3.0,Web,Graduate,Remote,6.0,Web Developer,https://5d.solutions/careers/jobopenings/1204_full_stack_web_developer/
"Adobe XD, Prototyping",5.0,Design,Graduate,Remote,9.0,UI Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Google Cloud, BigQuery",6.0,Cloud,Graduate,Hybrid,7.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Google Ads, Analytics",5.0,Marketing,Graduate,Hybrid,6.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Social Media, Branding",4.0,Marketing,Graduate,Remote,10.0,Brand Manager,https://www.amazon.jobs/en/jobs/2948380/sbs-assistant-brand-manager-india-consumables
Marketing Automation,3.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"JavaScript, Vue.js",1.0,Frontend,Graduate,Remote,6.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Google Cloud, BigQuery",4.0,Cloud,Graduate,Hybrid,8.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Go, Microservices",6.0,Backend,Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Python, Data Engineering",5.0,Data,Post Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Communication, CRM",4.0,Sales,Graduate,Onsite,9.0,Sales Executive,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Go, Microservices",4.0,Backend,Graduate,Onsite,4.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Excel, VBA",6.0,Data,Graduate,Hybrid,8.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"AutoCAD, SolidWorks",7.0,Design,Graduate,Onsite,5.0,Mechanical Designer,https://www.desirousgc.com/job/350
"Google Ads, Analytics",3.0,Marketing,Graduate,Hybrid,7.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Python, Data Engineering",4.0,Data,Post Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"AWS, CloudFormation",4.0,Cloud,Post Graduate,Hybrid,6.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Google Cloud, BigQuery",4.0,Cloud,Graduate,Hybrid,8.0,Cloud Engineer,https://www.google.com/about/careers/applications/jobs/results/142499060689838790-cloud-engineer/?src=online
"Salesforce, CRM",5.0,Sales,Graduate,Hybrid,8.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"JavaScript, Vue.js",2.0,Frontend,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"SQL Server, SSIS",3.0,Data,Graduate,Hybrid,5.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Adobe XD, Prototyping",3.0,Design,Graduate,Remote,8.0,UI Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Salesforce, CRM",5.0,Sales,Graduate,Hybrid,9.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"SQL Server, SSIS",3.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, SQL, Pandas",2.0,Data,Graduate,Remote,7.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SwiftUI, iOS Dev",4.0,Mobile,Graduate,Remote,7.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Python, Data Engineering",5.0,Data,Post Graduate,Hybrid,8.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"HTML, CSS, JavaScript",2.0,Web,Graduate,Remote,7.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Swift, iOS Development",5.0,Mobile,Post Graduate,Onsite,7.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Communication, Negotiation",5.0,Sales,Graduate,Onsite,10.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Communication, Negotiation",5.0,Sales,Graduate,Onsite,10.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Flutter, Dart",4.0,Mobile,Graduate,Remote,7.0,Mobile Developer,https://www.dewii.in/android-developer
"HTML, CSS, JavaScript",1.0,Web,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,6.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Business Analysis, UML",6.0,Management,Post Graduate,Onsite,8.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"HTML, CSS, JavaScript",1.0,Web,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"SwiftUI, iOS Dev",5.0,Mobile,Graduate,Remote,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,8.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Data Visualization, PowerBI",2.0,Data,Graduate,Remote,7.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"AutoCAD, SolidWorks",5.0,Design,Graduate,Onsite,7.0,Mechanical Designer,https://www.desirousgc.com/job/350
"Data Visualization, PowerBI",2.0,Data,Graduate,Remote,6.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, Flask, REST API",3.0,Backend,Graduate,Remote,7.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Photoshop, Figma",2.0,Design,Graduate,Remote,7.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Machine Learning, R",5.0,AI,Post Graduate,Remote,6.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Oracle",7.0,Data,Post Graduate,Onsite,5.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"Kotlin, Android Studio",3.0,Mobile,Graduate,Remote,7.0,Android Developer,https://www.dewii.in/android-developer
"Machine Learning, R",4.0,AI,Post Graduate,Remote,7.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Excel, VBA",7.0,Data,Graduate,Hybrid,7.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SwiftUI, iOS Dev",3.0,Mobile,Graduate,Remote,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"UX Research, Wireframing",4.0,Design,Graduate,Remote,9.0,UX Researcher,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Machine Learning, R",4.0,AI,Post Graduate,Remote,5.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, NLP, Spacy",5.0,AI,Post Graduate,Remote,5.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Machine Learning, R",4.0,AI,Post Graduate,Remote,5.0,Data Scientist,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Business Analysis, UML",6.0,Management,Post Graduate,Onsite,8.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Photoshop, Figma",3.0,Design,Graduate,Remote,6.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"SwiftUI, iOS Dev",3.0,Mobile,Graduate,Remote,7.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"SEO, Content Marketing",5.0,Marketing,Graduate,Remote,8.0,Digital Marketer,https://danguradigital.com/career/sales-and-marketing-executive-june/
"C++, Embedded Systems",6.0,Hardware,Post Graduate,Onsite,6.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"Swift, iOS Development",3.0,Mobile,Post Graduate,Onsite,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"UX Research, Wireframing",4.0,Design,Graduate,Remote,8.0,UX Researcher,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Python, SQL, Pandas",2.0,Data,Graduate,Remote,6.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL, Oracle",6.0,Data,Post Graduate,Onsite,5.0,Database Administrator,https://careers.united.com/us/en/job/GGN00001993/Database-Administrator-II-Information-Technology?src=JB-10440
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,5.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Photoshop, Illustrator",3.0,Design,Graduate,Remote,7.0,Graphic Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Node.js, Express, MongoDB",2.0,Backend,Graduate,Hybrid,5.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Project Management, JIRA",8.0,Management,Post Graduate,Onsite,8.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Flutter, Dart",4.0,Mobile,Graduate,Remote,8.0,Mobile Developer,https://www.dewii.in/android-developer
"Photoshop, Figma",3.0,Design,Graduate,Remote,7.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
"Go, Microservices",6.0,Backend,Graduate,Onsite,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Photoshop, Figma",2.0,Design,Graduate,Remote,6.0,UI/UX Designer,https://www.wow.jobs/appiness/UXUI-Designer-jobs-Bangalore/1355
Marketing Automation,4.0,Marketing,Graduate,Remote,6.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,6.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Unity, C#",2.0,Game Dev,Graduate,Onsite,8.0,Game Developer,https://www.desirousgc.com/job/171
"TensorFlow, PyTorch",6.0,AI,Post Graduate,Remote,7.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"HTML, CSS, JavaScript",0.0,Web,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Docker, Kubernetes",2.0,DevOps,Graduate,Remote,6.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Swift, iOS Development",3.0,Mobile,Post Graduate,Onsite,8.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Go, Microservices",5.0,Backend,Graduate,Onsite,5.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
Marketing Automation,4.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Project Management, JIRA",6.0,Management,Post Graduate,Onsite,7.0,Project Manager,https://hackerkernel.com/jobs/bhopal/it-project-coordinator
"Python, Django, REST",4.0,Backend,Graduate,Hybrid,6.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Linux Admin, Bash Scripting",6.0,DevOps,Graduate,Onsite,7.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"Python, NLP, Spacy",4.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"TensorFlow, PyTorch",5.0,AI,Post Graduate,Remote,8.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Flutter, Dart",4.0,Mobile,Graduate,Remote,7.0,Mobile Developer,https://www.dewii.in/android-developer
"Public Speaking, Leadership",6.0,Management,Post Graduate,Onsite,9.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"Excel, VBA",6.0,Data,Graduate,Hybrid,9.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Business Analysis, UML",6.0,Management,Post Graduate,Onsite,9.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Cloud Security, IAM",3.0,Security,Graduate,Onsite,7.0,Security Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"React, JavaScript, UI",2.0,Frontend,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Linux Admin, Bash Scripting",4.0,DevOps,Graduate,Onsite,5.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"Data Visualization, PowerBI",3.0,Data,Graduate,Remote,6.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Excel, VBA",5.0,Data,Graduate,Hybrid,9.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"JavaScript, Vue.js",3.0,Frontend,Graduate,Remote,8.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Cybersecurity, Ethical Hacking",4.0,Security,Graduate,Onsite,6.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Go, Microservices",6.0,Backend,Graduate,Onsite,4.0,Backend Developer,https://gokhana.zohorecruit.in/jobs/careers/169479000002520378
"Python, Data Engineering",5.0,Data,Post Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Swift, iOS Development",3.0,Mobile,Post Graduate,Onsite,6.0,iOS Developer,https://www.redcubeinfotech.com/careers.php
"Python, NLP, Spacy",3.0,AI,Post Graduate,Remote,7.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"C++, Embedded Systems",4.0,Hardware,Post Graduate,Onsite,4.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"Python, NLP, Spacy",5.0,AI,Post Graduate,Remote,5.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"SQL Server, SSIS",2.0,Data,Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, ML, TensorFlow",3.0,AI,Post Graduate,Remote,5.0,AI/ML Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"Communication, Negotiation",4.0,Sales,Graduate,Onsite,8.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Google Ads, Analytics",3.0,Marketing,Graduate,Hybrid,8.0,Marketing Analyst,https://www.position2.com/career/junior-marketing-automation-analyst/
"Cybersecurity, Ethical Hacking",3.0,Security,Graduate,Onsite,6.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"Python, Data Engineering",5.0,Data,Post Graduate,Hybrid,7.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Linux Admin, Bash Scripting",6.0,DevOps,Graduate,Onsite,5.0,System Administrator,https://zelis.wd1.myworkdayjobs.com/en-US/ZelisCareers/job/India-Hyderabad/Salesforce-Administrator_JR108049
"Python, NLP, Spacy",3.0,AI,Post Graduate,Remote,5.0,NLP Engineer,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
"AutoCAD, SolidWorks",5.0,Design,Graduate,Onsite,5.0,Mechanical Designer,https://www.desirousgc.com/job/350
"Business Analysis, UML",7.0,Management,Post Graduate,Onsite,8.0,Business Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
